Column1,last_update_time,league,date,game_time,home_team,away_team,bet_side,bookmaker_name,moneyline,payout,implied_odds,win_prob,exp_val,kelly_pct,bet_amnt
17,2022-03-10 22:49:49+00:00,NBA,3/11/22,2022-03-11 18:10:00-06:00,Orlando Magic,Minnesota Timberwolves,Minnesota Timberwolves,FanDuel,-320,0.31,0.762,0.718,-0.059,-0.192,0
41,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 19:10:00-06:00,Memphis Grizzlies,New York Knicks,Memphis Grizzlies,DraftKings,-490,0.2,0.831,0.778,-0.066,-0.332,0
18,2022-03-10 22:50:58+00:00,NBA,3/11/22,2022-03-11 18:10:00-06:00,Orlando Magic,Minnesota Timberwolves,Minnesota Timberwolves,BetMGM,-350,0.29,0.778,0.718,-0.074,-0.254,0
49,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 21:40:00-06:00,Los Angeles Lakers,Washington Wizards,Washington Wizards,DraftKings,155,1.55,0.392,0.363,-0.074,-0.048,0
32,2022-03-10 22:49:49+00:00,NBA,3/11/22,2022-03-11 19:10:00-06:00,New Orleans Pelicans,Charlotte Hornets,Charlotte Hornets,FanDuel,136,1.36,0.424,0.352,-0.169,-0.124,0
33,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 19:10:00-06:00,New Orleans Pelicans,Charlotte Hornets,Charlotte Hornets,DraftKings,130,1.3,0.435,0.352,-0.19,-0.146,0
25,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 18:40:00-06:00,Atlanta Hawks,Los Angeles Clippers,Los Angeles Clippers,DraftKings,215,2.15,0.317,0.22,-0.307,-0.143,0
24,2022-03-10 22:49:49+00:00,NBA,3/11/22,2022-03-11 18:40:00-06:00,Atlanta Hawks,Los Angeles Clippers,Los Angeles Clippers,FanDuel,205,2.05,0.328,0.22,-0.329,-0.16,0
12,2022-03-10 22:49:49+00:00,NBA,3/10/22,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,Golden State Warriors,FanDuel,-130,0.77,0.565,0.377,-0.333,-0.432,0
14,2022-03-10 22:51:07+00:00,NBA,3/10/22,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,Golden State Warriors,DraftKings,-130,0.77,0.565,0.377,-0.333,-0.432,0
13,2022-03-10 22:50:58+00:00,NBA,3/10/22,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,Golden State Warriors,BetMGM,-135,0.74,0.574,0.377,-0.344,-0.465,0
15,2022-03-10 22:48:54+00:00,NBA,3/10/22,2022-03-10 21:10:00-06:00,Denver Nuggets,Golden State Warriors,Golden State Warriors,Bovada,-135,0.74,0.574,0.377,-0.344,-0.465,0
0,2022-03-10 22:49:49+00:00,NBA,3/10/22,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Brooklyn Nets,FanDuel,160,1.6,0.385,0.234,-0.392,-0.245,0
1,2022-03-10 22:51:07+00:00,NBA,3/10/22,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Brooklyn Nets,DraftKings,155,1.55,0.392,0.234,-0.403,-0.26,0
2,2022-03-10 22:50:58+00:00,NBA,3/10/22,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Brooklyn Nets,BetMGM,155,1.55,0.392,0.234,-0.403,-0.26,0
3,2022-03-10 22:48:54+00:00,NBA,3/10/22,2022-03-10 18:30:00-06:00,Philadelphia 76ers,Brooklyn Nets,Brooklyn Nets,Bovada,155,1.55,0.392,0.234,-0.403,-0.26,0
30,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 18:40:00-06:00,Boston Celtics,Detroit Pistons,Detroit Pistons,DraftKings,800,8,0.111,0.065,-0.415,-0.052,0
29,2022-03-10 22:49:49+00:00,NBA,3/11/22,2022-03-11 18:40:00-06:00,Boston Celtics,Detroit Pistons,Detroit Pistons,FanDuel,750,7.5,0.118,0.065,-0.448,-0.06,0
36,2022-03-10 22:51:07+00:00,NBA,3/11/22,2022-03-11 19:10:00-06:00,Miami Heat,Cleveland Cavaliers,Cleveland Cavaliers,DraftKings,195,1.95,0.339,0.18,-0.469,-0.241,0
37,2022-03-10 22:49:49+00:00,NBA,3/11/22,2022-03-11 19:10:00-06:00,Miami Heat,Cleveland Cavaliers,Cleveland Cavaliers,FanDuel,188,1.88,0.347,0.18,-0.482,-0.256,0
31,2022-03-10 22:50:58+00:00,NBA,3/11/22,2022-03-11 18:40:00-06:00,Boston Celtics,Detroit Pistons,Detroit Pistons,BetMGM,675,6.75,0.129,0.065,-0.496,-0.074,0
