,game_id,sport,date,game_time,home_team,away_team,bookmaker_name,last_update_time,bet_side,moneyline,payout,implied_odds
103,8f5bd85225da915f8f9d5d3e3c580769,NBA,2022-03-11,2022-03-11 18:40:00-06:00,Boston Celtics,Detroit Pistons,FanDuel,2022-03-10 22:49:49+00:00,Detroit Pistons,750,7.5,0.118
108,8f5bd85225da915f8f9d5d3e3c580769,NBA,2022-03-11,2022-03-11 18:40:00-06:00,Boston Celtics,Detroit Pistons,DraftKings,2022-03-10 22:51:07+00:00,Boston Celtics,-1375,0.07,0.932
109,8f5bd85225da915f8f9d5d3e3c580769,NBA,2022-03-11,2022-03-11 18:40:00-06:00,Boston Celtics,Detroit Pistons,DraftKings,2022-03-10 22:51:07+00:00,Detroit Pistons,800,8.0,0.111
112,8f5bd85225da915f8f9d5d3e3c580769,NBA,2022-03-11,2022-03-11 18:40:00-06:00,Boston Celtics,Detroit Pistons,BetMGM,2022-03-10 22:50:58+00:00,Boston Celtics,-1100,0.09,0.917
113,8f5bd85225da915f8f9d5d3e3c580769,NBA,2022-03-11,2022-03-11 18:40:00-06:00,Boston Celtics,Detroit Pistons,BetMGM,2022-03-10 22:50:58+00:00,Detroit Pistons,675,6.75,0.129
114,43a112580103ee7103155cc63e803c2a,NBA,2022-03-11,2022-03-11 19:10:00-06:00,New Orleans Pelicans,Charlotte Hornets,FanDuel,2022-03-10 22:49:49+00:00,Charlotte Hornets,136,1.36,0.424
115,43a112580103ee7103155cc63e803c2a,NBA,2022-03-11,2022-03-11 19:10:00-06:00,New Orleans Pelicans,Charlotte Hornets,FanDuel,2022-03-10 22:49:49+00:00,New Orleans Pelicans,-162,0.62,0.618
122,43a112580103ee7103155cc63e803c2a,NBA,2022-03-11,2022-03-11 19:10:00-06:00,New Orleans Pelicans,Charlotte Hornets,DraftKings,2022-03-10 22:51:07+00:00,Charlotte Hornets,130,1.3,0.435
123,43a112580103ee7103155cc63e803c2a,NBA,2022-03-11,2022-03-11 19:10:00-06:00,New Orleans Pelicans,Charlotte Hornets,DraftKings,2022-03-10 22:51:07+00:00,New Orleans Pelicans,-150,0.67,0.6
126,e29e1058a36ca431ecbe7a6adcea43b9,NBA,2022-03-11,2022-03-11 19:10:00-06:00,Miami Heat,Cleveland Cavaliers,DraftKings,2022-03-10 22:51:07+00:00,Cleveland Cavaliers,195,1.95,0.339
